"rules","support","confidence","coverage","lift","count"
"{YURIKO=1,WIN=1} => {ALONSO=0}",0.235294117647059,0.947368421052632,0.248366013071895,1.02075611564122,36
"{RICK=1,SHELDA=0,WIN=1} => {ALONSO=0}",0.117647058823529,0.947368421052632,0.124183006535948,1.02075611564122,18
"{JIMMY=1,YURIKO=1,WIN=1} => {ALONSO=0}",0.117647058823529,0.947368421052632,0.124183006535948,1.02075611564122,18
"{JIMMY=0,YURIKO=1,WIN=1} => {ALONSO=0}",0.117647058823529,0.947368421052632,0.124183006535948,1.02075611564122,18
"{JIMMY=1,YURIKO=1,SHELDA=0,WIN=1} => {ALONSO=0}",0.117647058823529,0.947368421052632,0.124183006535948,1.02075611564122,18
"{RICK=0,YURIKO=1,BARBARA=0,WIN=1} => {ALONSO=0}",0.117647058823529,0.947368421052632,0.124183006535948,1.02075611564122,18
"{FRANCOIS=0,RICK=0,BARBARA=0,WIN=1} => {ALONSO=0}",0.117647058823529,0.947368421052632,0.124183006535948,1.02075611564122,18
"{STEEVE=0,JIMMY=0,SHELDA=0,WIN=1} => {ALONSO=0}",0.117647058823529,0.947368421052632,0.124183006535948,1.02075611564122,18
"{FRANCOIS=0,YURIKO=1,BARBARA=0,SHELDA=0,WIN=1} => {ALONSO=0}",0.117647058823529,0.947368421052632,0.124183006535948,1.02075611564122,18
"{RICK=0,YURIKO=1,BARBARA=0,SHELDA=0,WIN=1} => {ALONSO=0}",0.117647058823529,0.947368421052632,0.124183006535948,1.02075611564122,18
"{YURIKO=1,SHELDA=0,WIN=1} => {ALONSO=0}",0.228758169934641,0.945945945945946,0.241830065359477,1.01922344880091,35
"{STEEVE=0,JIMMY=1,YURIKO=1,WIN=1} => {BARBARA=0}",0.111111111111111,0.944444444444444,0.117647058823529,1.57065217391304,17
"{ALONSO=0,JIMMY=1,YURIKO=1,WIN=1} => {BARBARA=0}",0.111111111111111,0.944444444444444,0.117647058823529,1.57065217391304,17
"{STEEVE=0,JIMMY=1,YURIKO=1,SHELDA=0,WIN=1} => {BARBARA=0}",0.111111111111111,0.944444444444444,0.117647058823529,1.57065217391304,17
"{ALONSO=0,JIMMY=1,YURIKO=1,SHELDA=0,WIN=1} => {BARBARA=0}",0.111111111111111,0.944444444444444,0.117647058823529,1.57065217391304,17
"{JIMMY=1,YURIKO=1,BARBARA=0,WIN=1} => {STEEVE=0}",0.111111111111111,0.944444444444444,0.117647058823529,1.3018018018018,17
"{ALONSO=0,JIMMY=1,YURIKO=1,WIN=1} => {STEEVE=0}",0.111111111111111,0.944444444444444,0.117647058823529,1.3018018018018,17
"{JIMMY=1,YURIKO=1,BARBARA=0,SHELDA=0,WIN=1} => {STEEVE=0}",0.111111111111111,0.944444444444444,0.117647058823529,1.3018018018018,17
"{ALONSO=0,JIMMY=1,YURIKO=1,SHELDA=0,WIN=1} => {STEEVE=0}",0.111111111111111,0.944444444444444,0.117647058823529,1.3018018018018,17
"{ALONSO=0,JIMMY=0,YURIKO=1,WIN=1} => {SHELDA=0}",0.111111111111111,0.944444444444444,0.117647058823529,1.19421487603306,17
"{STEEVE=0,FRANCOIS=0,ALONSO=0,JIMMY=1,WIN=1} => {SHELDA=0}",0.111111111111111,0.944444444444444,0.117647058823529,1.19421487603306,17
"{FRANCOIS=0,RICK=1,WIN=1} => {ALONSO=0}",0.111111111111111,0.944444444444444,0.117647058823529,1.01760563380282,17
"{STEEVE=0,BARBARA=1,WIN=1} => {ALONSO=0}",0.111111111111111,0.944444444444444,0.117647058823529,1.01760563380282,17
"{FRANCOIS=1,SHELDA=0,WIN=1} => {ALONSO=0}",0.111111111111111,0.944444444444444,0.117647058823529,1.01760563380282,17
